Strike,Compra,Compra.1,Compra.2,Venta,Venta.1,Venta.2,Últ.,Vol.,Aper.,Máx.,Min.,Ant.,IV
"12.600,00",-,-,-,-,-,-,50900,1,50900,50900,50900,77100,500.0
"12.650,00",-,-,-,-,-,-,51400,1,51400,51400,51400,72100,500.0
"13.125,00",-,-,-,-,-,-,9400,2,12200,12200,9400,26900,500.0
"13.250,00",-,-,-,-,-,-,1700,4,5600,5600,1700,17100,500.0
"13.300,00",-,-,-,-,-,-,1800,4,2000,3300,1500,13700,500.0
"13.325,00",-,-,-,-,-,-,1500,1,1500,1500,1500,12200,500.0
"13.350,00",-,-,-,-,-,-,800,1,800,800,800,10700,500.0
"13.400,00",-,-,-,-,-,-,600,1,600,600,600,8200,500.0
