Strike,Compra,Compra.1,Compra.2,Venta,Venta.1,Venta.2,Últ.,Vol.,Aper.,Máx.,Min.,Ant.,IV
"13.800,00",-,-,-,-,-,-,33000,1,33000,33000,33000,41600,500.0
"14.500,00",-,-,-,-,-,-,15000,5,15000,15000,15000,18400,500.0
"14.900,00",-,-,-,-,-,-,5800,1,5800,5800,5800,10100,300.1441955566406
"15.000,00",-,-,-,-,-,-,5800,1,5800,5800,5800,8500,237.4725341796875
