Strike,Compra,Compra.1,Compra.2,Venta,Venta.1,Venta.2,Últ.,Vol.,Aper.,Máx.,Min.,Ant.,IV
"12.700,00",-,-,-,-,-,-,51100,1,51100,51100,51100,73900,500.0
"12.750,00",-,-,-,-,-,-,51600,1,51600,51600,51600,69500,500.0
