Strike,Compra,Compra.1,Compra.2,Venta,Venta.1,Venta.2,Últ.,Vol.,Aper.,Máx.,Min.,Ant.,IV_raw,IV
"13.200,00",-,-,-,-,-,-,9600,2,9600.0,9600.0,9600.0,26200.0,500.0,
"13.350,00",-,-,-,-,-,-,4600,1,4600.0,4600.0,4600.0,16500.0,500.0,
"13.400,00",-,-,-,-,-,-,2900,3,4000.0,4000.0,2900.0,13900.0,500.0,
"13.450,00",-,-,-,-,-,-,3500,1,3500.0,3500.0,3500.0,11500.0,500.0,
"13.500,00",-,-,-,-,-,-,1400,6,2700.0,2700.0,1300.0,9500.0,500.0,
