Strike,Compra,Compra.1,Compra.2,Venta,Venta.1,Venta.2,Últ.,Vol.,Aper.,Máx.,Min.,Ant.,IV_raw,IV
"12.850,00",-,-,-,-,-,-,53600,1,53600.0,53600.0,53600.0,69600.0,500.0,
"13.000,00",-,-,-,-,-,-,42700,2,49000.0,49000.0,42700.0,58200.0,500.0,
"13.100,00",-,-,-,-,-,-,41700,1,41700.0,41700.0,41700.0,51000.0,500.0,
"13.200,00",-,-,-,-,-,-,32500,4,30500.0,32500.0,29500.0,44100.0,500.0,
"13.250,00",-,-,-,-,-,-,30000,3,29900.0,30000.0,27000.0,40900.0,500.0,
"13.300,00",-,-,-,-,-,-,27000,56,32000.0,32000.0,27000.0,37700.0,500.0,
"13.400,00",-,-,-,-,-,-,20500,3,20500.0,20500.0,20500.0,31800.0,500.0,
"13.500,00",-,-,-,-,-,-,13800,2,13800.0,13800.0,13800.0,26700.0,500.0,
"13.900,00",-,-,-,-,-,-,6000,4,6000.0,6000.0,6000.0,11300.0,500.0,
