Strike,Compra,Compra.1,Compra.2,Venta,Venta.1,Venta.2,Últ.,Vol.,Aper.,Máx.,Min.,Ant.,IV_raw,IV
"12.600,00",-,-,-,-,-,-,50900,1,50900.0,50900.0,50900.0,77100.0,500.0,
"12.650,00",-,-,-,-,-,-,51400,1,51400.0,51400.0,51400.0,72100.0,500.0,
"13.125,00",-,-,-,-,-,-,9400,2,12200.0,12200.0,9400.0,26900.0,500.0,
"13.250,00",-,-,-,-,-,-,1700,4,5600.0,5600.0,1700.0,17100.0,500.0,
"13.300,00",-,-,-,-,-,-,1800,4,2000.0,3300.0,1500.0,13700.0,500.0,
"13.325,00",-,-,-,-,-,-,1500,1,1500.0,1500.0,1500.0,12200.0,500.0,
"13.350,00",-,-,-,-,-,-,800,1,800.0,800.0,800.0,10700.0,500.0,
"13.400,00",-,-,-,-,-,-,600,1,600.0,600.0,600.0,8200.0,500.0,
