Strike,Compra,Compra.1,Compra.2,Venta,Venta.1,Venta.2,Últ.,Vol.,Aper.,Máx.,Min.,Ant.
Strike,Ord.,Vol.,Precio,Precio,Vol.,Ord.,Últ.,Vol.,Aper.,Máx.,Min.,Ant.
"13.800,00",-,-,-,-,-,-,33000,1,33000,33000,33000,41600
"14.500,00",-,-,-,-,-,-,15000,5,15000,15000,15000,18400
"14.900,00",-,-,-,-,-,-,5800,1,5800,5800,5800,10100
"15.000,00",-,-,-,-,-,-,5800,1,5800,5800,5800,8500
Volumen Total,Volumen Total,Volumen Total,Volumen Total,Volumen Total,Volumen Total,Volumen Total,Volumen Total,8,,,,
