Strike,Compra,Compra.1,Compra.2,Venta,Venta.1,Venta.2,Últ.,Vol.,Aper.,Máx.,Min.,Ant.
Strike,Ord.,Vol.,Precio,Precio,Vol.,Ord.,Últ.,Vol.,Aper.,Máx.,Min.,Ant.
"13.500,00",-,-,-,-,-,-,34500,1,34500,34500,34500,42900
Volumen Total,Volumen Total,Volumen Total,Volumen Total,Volumen Total,Volumen Total,Volumen Total,Volumen Total,1,,,,
